description,label,bridge
Eiderdowns (manufacture),13923,SQYVS
Embroidering on made-up textile goods (manufacture),13923,SQYVT
Hand towel (manufacture),13923,SQYVU
Hand-woven tapestries (manufacture),13923,SQYVV
Household textile made-up articles (manufacture),13923,SQYVW
Household textiles (manufacture),13923,SQYVX
Kitchen linen (manufacture),13923,SQYVY
Dust sheet (manufacture),13923,SQYVZ
Lavatory seat cover (manufacture),13923,SQYWQ
Nursery square (manufacture),13923,SQYWS
Pillow case (manufacture),13923,SQYWT
Pin cushion (manufacture),13923,SQYWU
Polishing cloths and pads made of unprepared non-bonded fibre fabric (manufacture),13923,SQYWV
Pram blanket (outside knitting or weaving establishment) (manufacture),13923,SQYWW
Quilt (filled) (manufacture),13923,SQYWX
Quilt fringing (manufacture),13923,SQYWY
Lace tablecloth (manufacture),13923,SQYWZ
Sheet hemming (textiles) (manufacture),13923,SQYXQ
Shroud and cerement (manufacture),32500,SQYXR
Sleeping bag (manufacture),13923,SQYXS
Surgical drapes and sterile string and tissue (manufacture),32500,SQYXT
Table linen (manufacture),13923,SQYXU
Table mats made of textiles (manufacture),13923,SQYXV
Table runner (manufacture),13923,SQYXW
Tea towels (manufacture),13923,SQYXX
Textile part of electric blankets (manufacture),13923,SQYXY
Roller towel (manufacture),13923,SQYXZ
Towel (manufacture),13923,SQYYQ
Travelling rug making-up (outside weaving establishment) (manufacture),13923,SQYYR
Travelling rugs made of wool (manufacture),13923,SQYYS
Tufting blankets (manufacture),13923,SQYYT
Tufting household textiles (manufacture),13923,SQYYU
Valances (manufacture),13923,SQYYV
Axminster carpet (manufacture),13931,SQYYW
Brussels carpet (manufacture),13931,SQYYX
Carpet weaving (manufacture),13931,SQYYY
Toilet linen (manufacture),13923,SQYYZ
Car loose covers (manufacture),13922,SQYZQ
Cart cover made of canvas (manufacture),13922,SQYZR
Covers made of waterproofed canvas (manufacture),13922,SQYZS
Escape chute for aircraft (manufacture),13922,SQYZT
Filter cloth (made-up) (manufacture),13922,SQYZU
Flag making up (manufacture),13922,SQYZV
Flexible ventilating ducting made of textiles (manufacture),13922,SQYZW
Haversack (manufacture),13922,SQYZX
Lifejacket made of canvas (manufacture),13922,SQYZY
Canvas goods (manufacture),13922,SQYZZ
Breakfast cereal (cooked) (manufacture),10612,SQZQQ
Breakfast cereal (uncooked) (manufacture),10612,SQZQR
Cereal breakfast foods (manufacture),10612,SQZQS
Chicory root drying (manufacture),10612,SQZQT
Cornflake (manufacture),10612,SQZQU
Edible nut flour or meal production (manufacture),10612,SQZQV
Flour of dried leguminous vegetables production (manufacture),10612,SQZQW
Flour or meal of roots or tubers (manufacture),10612,SQZQX
Glazed rice (manufacture),10612,SQZQY
Bean splitting (manufacture),10612,SQZQZ
Manufacture of breakfast cereals and cereals-based food,10612,SQZRQ
Meal of dried leguminous vegetables production (manufacture),10612,SQZRR
Parboiled or converted rice (manufacture),10612,SQZRS
"Pea splitting, milling or grinding (manufacture)",10612,SQZRT
Polished rice (manufacture),10612,SQZRU
Puffed rice (manufacture),10612,SQZRV
Puffed wheat (manufacture),10612,SQZRW
Rice cleaning (manufacture),10612,SQZRX
Rice flaking (manufacture),10612,SQZRY
"Lentil splitting, grinding or milling (manufacture)",10612,SQZRZ
Rice husking (manufacture),10612,SQZSQ
Rice milling (manufacture),10612,SQZSR
Rice rolling (manufacture),10612,SQZSS
Sago grinding or milling (manufacture),10612,SQZST
Soya bean grinding (manufacture),10612,SQZSV
Soya bean milling (manufacture),10612,SQZSW
Soya flour and meal (manufacture),10612,SQZSX
Vegetable milling (manufacture),10612,SQZSY
Rice flour production (manufacture),10612,SQZSZ
Artificial honey (manufacture),10890,SQZTQ
Caramel (not sweets) (manufacture),10890,SQZTR
Corn oil (manufacture),10620,SQZTS
Dextrin (manufacture),10620,SQZTT
Dextrose (manufacture),10620,SQZTU
Glucose (manufacture),10620,SQZTV
Glucose syrup (manufacture),10620,SQZTW
Gluten (manufacture),10620,SQZTX
Inulin (manufacture),10620,SQZTY
Arrowroot (manufacture),10620,SQZTZ
Maize starch (manufacture),10620,SQZUQ
Maltose (manufacture),10620,SQZUR
Manufacture of starches and starch products,10620,SQZUS
Potato starch (manufacture),10620,SQZUT
Rice starch (manufacture),10620,SQZUU
Soluble starch (manufacture),10620,SQZUV
Starch (manufacture),10620,SQZUW
Tapioca (manufacture),10620,SQZUX
Tapioca grinding (manufacture),10620,SQZUY
Laundry starch (manufacture),10620,SQZUZ
Wet corn milling (manufacture),10620,SQZVQ
Wheat starch (manufacture),10620,SQZVR
Alfalfa (lucerne) meal and pellets (manufacture),10910,SQZVS
Chicken food (manufacture),10910,SQZVV
Compound animal feed (manufacture),10910,SQZVW
Concentrated animal feed and feed supplements (manufacture),10910,SQZVX
Dairy concentrate (animal feed) (manufacture),10910,SQZVY
Warp starch (manufacture),10620,SQZVZ
Feed supplements for animals (manufacture),10910,SQZWQ
Molassed feeding stuff containing more than 30% molasses (manufacture),10910,SQZWS
Non-compound animal and cattle feed (not from grain milling or oilseed cakes and meal) (manufacture),10910,SQZWT
Potato dehydrating for animal feed (manufacture),10910,SQZWU
Poultry grit (manufacture),10910,SQZWV
Prepared feeds for farm animals (manufacture),10910,SQZWW
Protein (synthetic) for animal feed (manufacture),10910,SQZWX
Protein concentrates (animal food) (manufacture),10910,SQZWY
Farm animal feeds produced from slaughter waste (manufacture),10910,SQZWZ
Bird food (manufacture),10920,SQZXR
Cat food (manufacture),10920,SQZXS
Dog biscuit (manufacture),10920,SQZXT
Dog food (manufacture),10920,SQZXU
Manufacture of prepared pet foods,10920,SQZXV
Pet animal feeds produced from slaughter waste (manufacture),10920,SQZXW
Pet fish feeds (manufacture),10920,SQZXX
Pet food including canned (manufacture),10920,SQZXY
"Single feeds, unmixed, for farm animals (manufacture)",10910,SQZXZ
Bakery (baking main activity) (manufacture),10710,SQZYQ
Bread and flour confectionery baking (manufacture),10710,SQZYR
Bread baking including rolls (manufacture),10710,SQZYS
Bread rolls (manufacture),10710,SQZYT
Cakes (manufacture),10710,SQZYU
Crumpet making (manufacture),10710,SQZYV
Fancy pastry (manufacture),10710,SQZYW
Flour confectionery (manufacture),10710,SQZYX
Fresh pastry (manufacture),10710,SQZYY
Pet foods (manufacture),10920,SQZYZ
Self-raising and patent flour (manufacture),10611,SQZZQ
Semolina milling (manufacture),10611,SQZZR
Wheat flake (manufacture),10611,SQZZS
Wheat milling (manufacture),10611,SQZZT
Wheat offal (manufacture),10611,SQZZU
Wheat pellets (manufacture),10611,SQZZV
Almond grinding (manufacture),10612,SQZZW
Bean grinding (manufacture),10612,SQZZX
Bean milling (manufacture),10612,SQZZY
Rye rolling (manufacture),10611,SQZZZ
Lace flouncing (manufacture),13990,SRQQQ
Lace mending (manufacture),13990,SRQQR
Lace net (manufacture),13990,SRQQS
Lace scalloping (manufacture),13990,SRQQT
Lace trimming (manufacture),13990,SRQQU
Leavers lace (manufacture),13990,SRQQV
Napery lace (manufacture),13990,SRQQW
"Net fabrics in the piece, in strips or in motifs (manufacture)",13990,SRQQX
Nottingham lace (manufacture),13990,SRQQY
Lace finishing (manufacture),13990,SRQQZ
Schiffli embroidery (manufacture),13990,SRQRQ
Swiss embroidery (manufacture),13990,SRQRR
Tulles and other net fabrics (manufacture),13990,SRQRS
Tulles in motifs (manufacture),13990,SRQRT
Tulles in one piece (manufacture),13990,SRQRU
Tulles in strips (manufacture),13990,SRQRV
Veiling (not silk) (manufacture),13990,SRQRW
Automotive trimmings (manufacture),13960,SRQRX
Badges (textile) (manufacture),13960,SRQRY
Raschel lace (manufacture),13990,SRQRZ
Bias binding (manufacture),13990,SRQSQ
Binding (woven) (manufacture),13990,SRQSR
Boot lace (manufacture),13990,SRQSS
Braid made of elastic (manufacture),13960,SRQST
Braid made of elastomeric (manufacture),13960,SRQSU
Braid made of non-elastic (manufacture),13960,SRQSV
Braid made of textile material (manufacture),13960,SRQSW
Carding of trimmings (manufacture),13960,SRQSX
Coach trimming (manufacture),13960,SRQSY
Banding (woven) (manufacture),13990,SRQSZ
Cord made of elastic (manufacture),13990,SRQTR
Cord made of elastomeric material (manufacture),13990,SRQTS
Corset lace (manufacture),13990,SRQTT
Curtain loop tape (manufacture),13990,SRQTU
Dress binding (manufacture),13990,SRQTV
Dressing gown cord and girdle cord (manufacture),13990,SRQTW
Elastic fabric (not more than 30 cm wide) (manufacture),13960,SRQTX
Elastomeric fabric (not more than 30 cm wide) (manufacture),13960,SRQTY
Coffin frilling (manufacture),13960,SRQTZ
Fringe (textile material) (manufacture),13960,SRQUQ
Galloon ribbon (manufacture),13960,SRQUR
Haberdashery (narrow fabrics) (manufacture),13960,SRQUT
Hat bands (manufacture),13960,SRQUU
Hosepiping made of textiles (manufacture),13960,SRQUV
Labels made of textiles (manufacture),13960,SRQUX
Labels made of woven fabric (manufacture),13960,SRQUY
Frilling (manufacture),13960,SRQUZ
Ladder tape (textile material) (manufacture),13960,SRQVQ
Machinery belting (woven) (manufacture),13960,SRQVR
Manufacture of other technical and industrial textiles,13960,SRQVS
Manufacture of other textiles n.e.c.,13990,SRQVT
Narrow fabric (not elastic or elastomeric) (manufacture),13960,SRQVU
"Narrow woven fabrics, including weftless fabrics assembled by means of an adhesive (manufacture)",13960,SRQVV
Ornamental braids (manufacture),13960,SRQVW
Ornamental trimmings (manufacture),13960,SRQVX
Petersham ribbon (manufacture),13960,SRQVY
Laces for boots and shoes (manufacture),13990,SRQVZ
Printed labels of textile materials (manufacture),13960,SRQWQ
Pyjama cord (manufacture),13990,SRQWR
Ribbon made of textile (manufacture),13960,SRQWS
"Rubber thread and cord, textile covered, coated or sheathed with rubber or plastics (manufacture)",13960,SRQWT
Rubber thread or cord covered with textile material (manufacture),13960,SRQWU
Shoe laces (braided) (manufacture),13990,SRQWV
Shoe trimmings made of textile materials (manufacture),13960,SRQWW
Small ware made of textiles (manufacture),13990,SRQWX
Tapes made of non-elastic and non-elastomeric textile materials (manufacture),13960,SRQWY
Pompons (manufacture),13960,SRQWZ
Textile wicks (manufacture),13960,SRQXQ
Transmission or conveyor belts or belting made of textiles (manufacture),13960,SRQXR
Twist cord (fabric) (manufacture),13960,SRQXS
Umbrella trimmings made of textile material (manufacture),13960,SRQXT
Upholsterers' trimmings (textile material) (manufacture),13960,SRQXU
Webbing made of non-elastic and non-elastomeric (manufacture),13960,SRQXV
Webbing weaving (manufacture),13960,SRQXW
"Wicks for lamps, stoves or candles (manufacture)",13960,SRQXX
Woven conveyor belting (manufacture),13960,SRQXY
Tassels made of textile material (manufacture),13960,SRQXZ
Woven trimmings (manufacture),13960,SRQYQ
Artists' canvases (manufacture),13960,SRQYR
Artists' tracing cloth (manufacture),13960,SRQYS
Baize (manufacture),13990,SRQYT
Billiard table cloth (manufacture),13990,SRQYU
Bolting cloth (manufacture),13960,SRQYV
Buckram (manufacture),13960,SRQYW
Buckram and similar stiffened textile fabrics (manufacture),13960,SRQYX
Canvas prepared for use by painters (manufacture),13960,SRQYY
Woven machinery belting (manufacture),13960,SRQYZ
"Lace and embroidery in the piece, in strips or in motifs (manufacture)",13990,SRQZQ
Lace bleaching (not on commission) (manufacture),13990,SRQZR
Lace clipping (manufacture),13990,SRQZS
Lace drawing (manufacture),13990,SRQZT
Lace dressing (manufacture),13990,SRQZU
Lace dyeing (not on commission) (manufacture),13990,SRQZV
Lace edging (manufacture),13990,SRQZW
Lace embroidery (manufacture),13990,SRQZX
Lace ending (manufacture),13990,SRQZY
Lace (manufacture),13990,SRQZZ
Needleloom felt (other than carpet underlay) (manufacture),13990,SRRQQ
Nitro-cellulose coated textile fabric (manufacture),13960,SRRQR
Polyurethane coated textile fabrics (manufacture),13960,SRRQS
Pressed felt (not paper or roofing) (manufacture),13990,SRRQT
Pressed wool felt (manufacture),13990,SRRQU
Pressure sensitive cloth-tape (manufacture),13990,SRRQV
Sanitary towels made of textile wadding (manufacture),17220,SRRQW
Stiffened textile fabrics (manufacture),13960,SRRQX
Straining cloth (manufacture),13960,SRRQY
Needlefelt (other than carpet underlay) (manufacture),13990,SRRQZ
Textile wadding and articles of wadding (manufacture),17220,SRRRQ
"Textile yarn impregnated, coated or sheathed with rubber or plastic (manufacture)",13960,SRRRR
Tracing cloth (woven) (manufacture),13960,SRRRS
Tracing cloth weaving (manufacture),13960,SRRRT
Tufted fabrics (other than household textiles) (manufacture),13990,SRRRU
Tyre cord fabric made of high-tenacity man-made yarn (manufacture),13960,SRRRV
Tyre fabric woven from yarn spun on the cotton system (manufacture),13960,SRRRX
Wadding made from yarn spun on the cotton system (manufacture),17220,SRRRY
Tampons made of textile wadding (manufacture),17220,SRRRZ
Elastic and elastomeric fabric (manufacture),13910,SRRSR
Elastic or elastomeric knitted or netted fabric more than 30 cm wide (manufacture),13910,SRRSS
Imitation fur obtained by knitting (manufacture),13910,SRRST
Knitted fabrics (manufacture),13910,SRRSU
Knitted or netted elastic over 30 cm wide (manufacture),13910,SRRSV
Locknit fabric (manufacture),13910,SRRSW
Manufacture of knitted and crocheted fabrics,13910,SRRSX
Net and window furnishing type fabrics (manufacture),13910,SRRSY
Netted fabric (manufacture),13910,SRRTQ
Pile knitted fabric (manufacture),13910,SRRTR
Sliver knitted fabric (manufacture),13910,SRRTS
Terry fabrics (manufacture),13910,SRRTT
Warp knitted fabric (manufacture),13910,SRRTU
Warp knitting (manufacture),13910,SRRTV
Weft knitted fabric (manufacture),13910,SRRTW
Window furnishing knitted fabric (manufacture),13910,SRRTX
Bedsock (manufacture),14310,SRRTY
Net curtaining knitted or crocheted fabric (manufacture),13910,SRRTZ
Footwear made of textiles without applied soles (manufacture),14190,SRRUQ
Hosiery (knitted and crocheted) (manufacture),14310,SRRUR
Hosiery blank (manufacture),14310,SRRUS
Manufacture of knitted and crocheted hosiery,14310,SRRUT
Pantyhose (manufacture),14310,SRRUU
Socks and stockings (knitted) (manufacture),14310,SRRUV
Socks for children (manufacture),14310,SRRUW
Socks for men (manufacture),14310,SRRUX
Socks for women and girls (manufacture),14310,SRRUY
Fancy hosiery (manufacture),14310,SRRUZ
Stockings (manufacture),14310,SRRVQ
Stockings for women and girls (manufacture),14310,SRRVR
Tights (manufacture),14310,SRRVS
Cardigans (knitted) (manufacture),14390,SRRVT
Crocheted articles (manufacture),14390,SRRVU
Jerseys (knitted) (manufacture),14390,SRRVV
Jumpers (knitted) (manufacture),14390,SRRVW
Knitwear (manufacture),14390,SRRVX
Manufacture of other knitted and crocheted apparel,14390,SRRVY
Stockinette goods (manufacture),14310,SRRVZ
Twin sets (knitted) (manufacture),14390,SRRWQ
Waistcoats and other similar articles (knitted) (manufacture),14390,SRRWR
Imitation leather clothes for men and boys (manufacture),14110,SRRWS
Imitation leather clothes for women and girls (manufacture),14110,SRRWT
Industrial leather welders aprons (manufacture),14110,SRRWU
Leather clothes (manufacture),14110,SRRWV
Leather garments for men and boys (manufacture),14110,SRRWW
Leather garments for women and girls (manufacture),14110,SRRWX
Leather industrial work accessories (manufacture),14110,SRRWY
Pullovers (knitted or crocheted) (manufacture),14390,SRRWZ
Aprons for domestic use (manufacture),14120,SRRXR
Aprons for industrial use (manufacture),14120,SRRXS
Battledress for men (manufacture),14120,SRRXT
Battledress for women (manufacture),14120,SRRXU
Boiler suit (manufacture),14120,SRRXV
Cassock (manufacture),14120,SRRXW
Chefs' clothing (manufacture),14120,SRRXX
Clerical vestment (manufacture),14120,SRRXY
Leather wearing apparel (manufacture),14110,SRRXZ
"Gowns for academic, legal or ecclesiastical use (manufacture)",14120,SRRYQ
Industrial clothing (manufacture),14120,SRRYR
Livery (manufacture),14120,SRRYS
Military clothing (manufacture),14120,SRRYU
Nuns' clothing (manufacture),14120,SRRYV
Nurses' uniforms for men (manufacture),14120,SRRYW
Nurses' uniforms for women (manufacture),14120,SRRYX
Overalls for boys (manufacture),14120,SRRYY
Dungarees (manufacture),14120,SRRYZ
"Fabrics impregnated, coated, covered or laminated with plastics (manufacture)",13960,SRRZQ
Felt (manufacture),13990,SRRZR
Filter cloth weaving (manufacture),13960,SRRZS
Gas mantles and tubular gas mantle fabric (manufacture),13960,SRRZT
Incandescent mantle (manufacture),13960,SRRZU
Leathercloth (manufacture),13960,SRRZV
Leathercloth made of polyvinyl chloride (manufacture),13960,SRRZW
Linen buckram weaving (manufacture),13960,SRRZX
Metallised yarn (manufacture),13960,SRRZY
Fabrics coated with gum or amylaceous substances (manufacture),13960,SRRZZ
Uniforms for women and girls (manufacture),14120,SRSQQ
Vestments for clerical use (manufacture),14120,SRSQR
Weather protective industrial clothing (manufacture),14120,SRSQS
Workwear (manufacture),14120,SRSQT
Workwear clothing for women (manufacture),14120,SRSQU
Anoraks for men and boys (manufacture),14131,SRSQV
Blazers for men and boys (manufacture),14131,SRSQW
Breeches (manufacture),14131,SRSQX
Climbing clothing for men and boys (weatherproof) (manufacture),14131,SRSQY
Uniforms for men and boys (manufacture),14120,SRSQZ
Coats for men and boys (manufacture),14131,SRSRQ
Custom tailored outerwear for men and boys (manufacture),14131,SRSRR
Custom tailoring for men and boys (manufacture),14131,SRSRS
Jackets for men and boys (manufacture),14131,SRSRT
Jeans for men and boys (manufacture),14131,SRSRU
Knitted outerwear for men and boys (manufacture),14131,SRSRV
Mackintoshes for men and boys (manufacture),14131,SRSRW
Manufacture of other men's outerwear,14131,SRSRX
Oilskins for men and boys (manufacture),14131,SRSRY
Cloaks for men and boys (manufacture),14131,SRSRZ
Outerwear for men and boys made of stitched plastic (manufacture),14131,SRSSQ
Overcoats for men and boys (manufacture),14131,SRSSR
Parts of coats for men and boys (manufacture),14131,SRSSS
Parts of jackets for men and boys (manufacture),14131,SRSST
Parts of suits for men and boys (manufacture),14131,SRSSU
Parts of trousers for men and boys (manufacture),14131,SRSSV
Raincoats for men and boys (manufacture),14131,SRSSW
Rainproof garments for men and boys (manufacture),14131,SRSSX
Recreational clothing for men and boys (waterproofed) (manufacture),14131,SRSSY
Outerwear for men and boys (manufacture),14131,SRSSZ
Sailing clothing for men and boys (weatherproof) (manufacture),14131,SRSTQ
Shorts for men and boys (manufacture),14131,SRSTR
Sportswear for men and boys (manufacture),14131,SRSTS
Suits for men and boys (manufacture),14131,SRSTT
Tailored outerwear for men and boys (manufacture),14131,SRSTU
Trousers for men and boys (manufacture),14131,SRSTV
Waistcoats for men and boys (manufacture),14131,SRSTW
Weatherproof jackets for men and boys (manufacture),14131,SRSTX
Weatherproof outerwear for men and boys (manufacture),14131,SRSTY
Recreational weatherproof clothing for men and boys (manufacture),14131,SRSTZ
Blazers for women and girls (manufacture),14132,SRSUQ
Climbing clothing for women and girls (weatherproof) (manufacture),14132,SRSUR
Cloaks for women and girls (manufacture),14132,SRSUS
Coats for women and girls (manufacture),14132,SRSUT
Costumes for women and girls (manufacture),14132,SRSUU
Custom tailoring for women and girls (manufacture),14132,SRSUV
Divided lightweight skirt (dress made) (manufacture),14132,SRSUW
Dress and jacket knitted ensemble (manufacture),14132,SRSUX
Dresses for women and girls (manufacture),14132,SRSUY
Anoraks for women and girls (manufacture),14132,SRSUZ
Ensembles (manufacture),14132,SRSVQ
Fashion (manufacture),14132,SRSVR
Gowns (manufacture),14132,SRSVS
Housecoats (manufacture),14132,SRSVT
Jackets for women and girls (manufacture),14132,SRSVU
Jeans for women and girls (manufacture),14132,SRSVV
Knitted dress and jacket ensemble (manufacture),14132,SRSVW
Knitted dresses for women and girls (manufacture),14132,SRSVX
Knitted outerwear for women and girls (manufacture),14132,SRSVY
Dressmaking (manufacture),14132,SRSVZ
Knitted suits for women and girls (manufacture),14132,SRSWQ
Light outerwear for women and girls (manufacture),14132,SRSWR
Lightweight jackets for women and girls (manufacture),14132,SRSWS
Mackintoshes for women and girls (manufacture),14132,SRSWT
Manufacture of other women's outerwear,14132,SRSWU
Oilskins for women and girls (manufacture),14132,SRSWV
Outerwear for women and girls made of stitched plastic (manufacture),14132,SRSWW
Overcoats for women and girls (manufacture),14132,SRSWX
Parts of coats for women and girls (manufacture),14132,SRSWY
Knitted skirts (manufacture),14132,SRSWZ
Parts of jackets for women and girls (manufacture),14132,SRSXQ
Parts of skirts for women and girls (manufacture),14132,SRSXR
Parts of suits for women and girls (manufacture),14132,SRSXS
Parts of trousers for women and girls (manufacture),14132,SRSXT
Raincoats for women and girls (manufacture),14132,SRSXU
Raincoats for women and girls made of stitched plastic (manufacture),14132,SRSXV
Rainproof garments for women and girls (manufacture),14132,SRSXW
Recreational clothing for women and girls (waterproof) (manufacture),14132,SRSXX
Recreational weatherproof clothing for women and girls (manufacture),14132,SRSXY
Parts of ensembles for women and girls (manufacture),14132,SRSXZ
Skirts for women and girls (dressmade) (manufacture),14132,SRSYQ
Slacks for women and girls (manufacture),14132,SRSYR
Sportswear for women and girls (manufacture),14132,SRSYS
Suits for women and girls (dressmade) (manufacture),14132,SRSYT
Tailored outerwear for women and girls (manufacture),14132,SRSYU
Tailored skirts (manufacture),14132,SRSYV
Trouser suits for women and girls (manufacture),14132,SRSYW
Trousers for women and girls (manufacture),14132,SRSYX
Weatherproof jackets for women and girls (manufacture),14132,SRSYY
Sailing clothing for women and girls (weatherproof) (manufacture),14132,SRSYZ
Overalls for girls (manufacture),14120,SRSZQ
Overalls for men and boys (manufacture),14120,SRSZR
Overalls for women and girls (manufacture),14120,SRSZS
Protective clothing for industrial use (manufacture),14120,SRSZT
"Robes for academic, legal and ecclesiastical use (manufacture)",14120,SRSZU
Shirts for industrial use (manufacture),14120,SRSZW
Surplice (manufacture),14120,SRSZX
Trousers for industrial use (manufacture),14120,SRSZY
Overalls for domestic use (manufacture),14120,SRSZZ
Underwear for men and boys (manufacture),14141,SRTQQ
Vests for men and boys (manufacture),14141,SRTQR
Blouses for women and girls (manufacture),14142,SRTQS
Brassiere (manufacture),14142,SRTQT
Briefs for women and girls (manufacture),14142,SRTQU
Corselet (manufacture),14142,SRTQV
Corset (manufacture),14142,SRTQW
Corset belt (manufacture),14142,SRTQX
Dressing gown for women and girls (manufacture),14142,SRTQY
T-shirts for men and boys (manufacture),14141,SRTQZ
Knickers (manufacture),14142,SRTRQ
Knitted nightwear for women and girls (manufacture),14142,SRTRR
Knitted underwear for women and girls (manufacture),14142,SRTRS
Knitted vests for women and girls (manufacture),14142,SRTRT
Lingerie (manufacture),14142,SRTRU
Manufacture of women's underwear,14142,SRTRV
Night-dresses for women and girls (manufacture),14142,SRTRW
Nightwear for women and girls (manufacture),14142,SRTRX
Panty (manufacture),14142,SRTRY
Foundation garment (manufacture),14142,SRTRZ
Pyjamas for women and girls (manufacture),14142,SRTSQ
Shirts for women and girls (manufacture),14142,SRTSR
Slips (manufacture),14142,SRTSS
Suspender (manufacture),14142,SRTST
Suspender belt (manufacture),14142,SRTSU
Underskirt (manufacture),14142,SRTSV
Underwear for women and girls (manufacture),14142,SRTSW
Vests for women and girls (manufacture),14142,SRTSX
Balaclava helmet (manufacture),14190,SRTSY
Petticoat (manufacture),14142,SRTSZ
Beret (not knitted) (manufacture),14190,SRTTQ
Buckram shape (manufacture),14190,SRTTR
Capeline felt (manufacture),14190,SRTTS
Caps made of cloth (manufacture),14190,SRTTT
Felt hat bleaching and dying (manufacture),14190,SRTTU
Felt hat body making (manufacture),14190,SRTTV
Felt hat finishing (manufacture),14190,SRTTW
Hat lining (manufacture),14190,SRTTX
Hat pad (manufacture),14190,SRTTY
Beret (knitted) (manufacture),14190,SRTTZ
Hats made of cloth (manufacture),14190,SRTUQ
Hats made of felt (manufacture),14190,SRTUR
Hats made of fur (manufacture),14190,SRTUS
Hats made of fur fabric (manufacture),14190,SRTUT
Hats made of silk (manufacture),14190,SRTUU
Hats made of wool (manufacture),14190,SRTUV
Headgear made of furskins (manufacture),14190,SRTUW
Industrial protective headgear (manufacture),32990,SRTUX
Knitted bonnet (manufacture),14190,SRTUY
Hat shape (manufacture),14190,SRTUZ
Millinery made of felt (manufacture),14190,SRTVQ
Peak cap (manufacture),14190,SRTVR
Protective headgear (manufacture),32990,SRTVS
Protective headgear for industrial use (manufacture),32990,SRTVT
Riding caps (manufacture),32990,SRTVU
Straw hat blocking (manufacture),14190,SRTVV
Straw hats (manufacture),14190,SRTVW
Tropical helmet (manufacture),14190,SRTVX
Uniform hats and caps (manufacture),14190,SRTVY
Linings for hats (manufacture),14190,SRTVZ
Wool felt and fur felt hood and capeline (manufacture),14190,SRTWQ
"Cut, make and trim on a fee or contract basis (manufacture)",14190,SRTWR
Athletic clothing (manufacture),14190,SRTWS
Babies garments (manufacture),14190,SRTWT
Baby clothing (manufacture),14190,SRTWU
Baby linen (manufacture),14190,SRTWV
Beachwear for women and girls (manufacture),14190,SRTWW
Braces (not made of leather or leather substitute) (manufacture),14190,SRTWX
Braces made of leather (manufacture),14190,SRTWY
Uniform helmets (manufacture),32990,SRTWZ
Clothing pad (manufacture),14190,SRTXQ
Collars for men and boys (manufacture),14190,SRTXR
Cravats (manufacture),14190,SRTXS
Cuffs for men and boys (manufacture),14190,SRTXT
Disposable clothing (manufacture),14190,SRTXU
Dress belts (not made of leather or leather substitute) (manufacture),14190,SRTXV
Dress gloves made of fabric (manufacture),14190,SRTXW
Dress shield (manufacture),14190,SRTXX
Fire-fighting protection suits (manufacture),32990,SRTXY
Clothing accessories (manufacture),14190,SRTXZ
Garter (manufacture),14190,SRTYR
Gauntlet (protective) (manufacture),32990,SRTYS
Gloves (other than knitted) (manufacture),14190,SRTYT
Gloves for children (manufacture),14190,SRTYU
Gloves made of cloth (manufacture),14190,SRTYV
Gloves made of fur (manufacture),14190,SRTYW
Gloves made of leather (not sports) (manufacture),14190,SRTYX
Gloves made of textiles for household use (manufacture),14190,SRTYY
Fire-resistant and protective safety clothing (manufacture),32990,SRTYZ
Briefs for men and boys (manufacture),14141,SRTZQ
Dressing gowns for men and boys (manufacture),14141,SRTZR
Knitted nightwear for men and boys (manufacture),14141,SRTZS
Knitted underwear for men and boys (manufacture),14141,SRTZT
Knitted vests for men and boys (manufacture),14141,SRTZU
Manufacture of men's underwear,14141,SRTZV
Nightwear for men and boys (manufacture),14141,SRTZW
Pyjamas for men and boys (manufacture),14141,SRTZX
Shirts for men and boys (manufacture),14141,SRTZY
Weatherproof outerwear for women and girls (manufacture),14132,SRTZZ
Knitted swimwear (manufacture),14190,SRUQQ
Knitted swimwear for infants (manufacture),14190,SRUQR
Knitted ties (manufacture),14190,SRUQS
Knitted underclothing for infants (manufacture),14190,SRUQT
Ladies fan (manufacture),14190,SRUQU
Manufacture of other wearing apparel and accessories n.e.c.,14190,SRUQV
Necktie (manufacture),14190,SRUQW
Neckwear for women (manufacture),14190,SRUQX
Nightwear for infants (manufacture),14190,SRUQY
Knitted shawl (manufacture),14190,SRUQZ
Protective gloves for industrial use (manufacture),32990,SRURQ
Scarf (lace or knitted) (manufacture),14190,SRURR
Scarf (not lace or knitted) (manufacture),14190,SRURS
Shawls (manufacture),14190,SRURT
Shirt front (manufacture),14190,SRURU
Shirt neckband (manufacture),14190,SRURV
Ski suits (manufacture),14190,SRURW
Sporran (manufacture),14190,SRURX
Swimwear (manufacture),14190,SRURY
Outerwear for infants (manufacture),14190,SRURZ
Theatrical costumes (manufacture),14190,SRUSQ
Ties made of silk (manufacture),14190,SRUSR
Tracksuits (manufacture),14190,SRUSS
Underclothing for infants (manufacture),14190,SRUST
Weatherproof outerwear for infants (manufacture),14190,SRUSU
Weatherproof skiing clothing (manufacture),14190,SRUSV
Apparel made of fur (manufacture),14200,SRUSW
Artificial fur and articles thereof (manufacture),14200,SRUSX
Capes made of fur (manufacture),14200,SRUSY
Tailors' pad (manufacture),14190,SRUSZ
Cravats made of fur (manufacture),14200,SRUTQ
Currying of fur skins and hides with the hair on (manufacture),15110,SRUTR
Dressing and dying of furskins and hides with the hair on (manufacture),15110,SRUTS
